superhero_name,email,status,real_name
Black Widow,black-widow@avengers.com",Active,Natasha Alianovna Romanova
Iron Man,iron-man@avengers.com",Active,Anthony 'Tony' Stark
Ant-Man,ant-man@avengers.com",Active,Eric O'Grady
Hulk,hulk@avengers.com",Active,Robert Bruce Banner
Captain America,captain-america@avengers.com",Active,Steve Rogers
Deadpool,deadpool@avengers.com",Active,Wade Wilson
Doctor Strange,doctor-strange@avengers.com",Active,Stephen Vincent Strange
Spider-Man,spider-man@avengers.com",Active,Peter Parker



